"","Nest_ID","Year_located","Project_ID","Transect_ID2","Trt_cat","Nest_Ht","Tree_sp","Orientation","cosOrientation","Initiation_date","NoFL_uncert","Trees_2550","Trees_50","pPIPO","start_date","end_date","a1000_areamn2","a1000_areaam2","a1000_areacv2","a1000_contag","a1000_pland2","a1000_pland1","a1000_lpi","a1000_lpi1","a1000_lpi2","a1000_np","a1000_np2","a1000_np1","a1000_proxmn2","a1000_Ha","a1000_PBu","a1000_RxBu","a1000_WFBu","n_burn","n_harvest","n_tx","Tm_since_b","Tm_since_h","Tm_since_tx","Time_groups","Init_day","Eg_start","Ne_start","Eg_end","Ne_end","No_eggs","No_young","Type","Tmax","PPT","Tmax_eg","PPT_eg","Tmax_ne","PPT_ne"
"39","EMFWOR_NLILT3-04A_2020",2020,"EMFWOR","EMFWOR_LILT3","H",2,"PIPO",133,-0.681998360062498,"2020-06-07",0,25,20,0.454545454545455,"06","07",1.10478,8.4399204,257.67099,21.1112003,24.8460007,66.2950974,65.7670975,65.7670975,4.5761199,80,69,11,23.2080002,66.3831024,44.0238991,18.6777992,0,0,3,3,"oot","0","0","0-5",159,NA,"06",NA,"07",0,2,"nestling",27.7,26,NA,0,27.7,26
"40","EMFWOR_NLILT3-10A_2017",2017,"EMFWOR","EMFWOR_LILT3","H",2.6,"PIPO",252,-0.309016994374948,"2017-06-02",3,33.3333333333333,15,1,"06","07",3.25,63.2984009,429.8420105,8.89571,38.1343002,48.1078987,40.5396996,40.5396996,27.6620998,78,36,42,91.1956024,5.1041398,0,0,0,0,1,1,"oot","0","0","0-5",153,NA,"06",NA,"07",0,3,"nestling",28,26,NA,0,28,26
"41","EMFWOR_NLILT3-10A_2018",2018,"EMFWOR","EMFWOR_LILT3","H",1.5,"PIPO",113,-0.390731128489274,"2018-05-30",3,41.6666666666667,20,0.615384615384615,"05","07",3.54971,64.006897,412.6940002,8.6038799,39.3370018,47.8732986,28.7474003,28.7474003,28.1021004,74,34,40,83.2310028,66.6471024,0,0,0,0,1,1,"oot","0","0","0-5",150,"05","05","06","07",4,3,"egg",28.1,58,23.7,51,28.1,58
"42","EMFWOR_NMUDT1-05A_2015",2015,"EMFWOR","EMFWOR_MUDT1","U",7.5,"POTR5",188,-0.99026806874157,"2015-05-29",3,8.33333333333333,0,0,"05","07",3.2320001,62.9813004,429.9630127,9.0864496,47.4039001,33.4408989,29.8327999,16.3684006,29.8327999,125,45,80,153.4539948,13.4350004,13.2793999,0,0,0,0,0,"oot","oot","oot","oot",149,"05","05","06","07",1,3,"nestling",27.9,52,23.6,47,27.9,52
"43","EMFWOR_NMUDT1-05A_2016",2016,"EMFWOR","EMFWOR_MUDT1","U",7.5,"POTR5",188,-0.99026806874157,"2016-06-05",3,8.33333333333333,0,0,"06","07",3.2320001,62.9813004,429.9630127,9.0864496,47.4039001,33.4408989,29.8327999,16.3684006,29.8327999,125,45,80,153.4539948,13.4350004,13.2793999,0,0,0,0,0,"oot","oot","oot","oot",157,"06","06","06","07",1,4,"egg+nestling",27.9,24,23.6,19,27.9,24
"44","EMFWOR_NMUDT1-05A_2018",2018,"EMFWOR","EMFWOR_MUDT1","U",2.5,"POTR5",232,-0.615661475325658,NA,0,33.3333333333333,0,0,NA,"06",2.14429,33.8350983,384.4370117,7.19101,44.0304985,34.702301,20.3871994,20.3871994,19.0377998,134,63,71,75.5833969,14.2564001,12.1844997,0,0,0,0,0,"oot","oot","oot","oot",NA,NA,NA,"06",NA,2,0,"egg",NA,0,NA,0,NA,0
"45","EMFWOR_NMUDT1-05A_2020",2020,"EMFWOR","EMFWOR_MUDT1","H",3.2,"POTR5",324,0.809016994374947,"2020-06-13",2,0,0,0,"06","07",3.3013599,62.2514,422.5669861,8.8189402,47.3452988,33.8516006,29.7154999,16.4563999,29.7154999,124,44,80,142.6179962,56.9375,12.3309002,0,0,0,4,4,"oot","1","1","0-5",165,"06","06","06","07",3,2,"egg",27.9,24,23.6,19,27.9,24
"46","EMFWOR_NMUDT1-05A_2021",2021,"EMFWOR","EMFWOR_MUDT1","H",3.2,"POTR5",324,0.809016994374947,"2021-07-03",0,0,0,0,"07","07",3.3013599,62.2514,422.5669861,8.8189402,47.3452988,33.8516006,29.7154999,16.4563999,29.7154999,124,44,80,142.6179962,59.9883003,21.5615997,0,0,0,5,5,"oot","0","0","0-5",184,"07",NA,"07",NA,4,0,"egg",27.9,5,27.9,5,NA,0
"47","EMFWOR_NPINT1-03A_2018",2018,"EMFWOR","EMFWOR_PINT1","H",6.1,"POTR5",180,-1,NA,0,8.33333333333333,25,0,NA,"06",2.2520499,12.8529997,216.9620056,9.4505901,32.2969017,48.4305992,44.4412003,44.4412003,7.8908801,78,44,34,27.2133999,33.0009003,13.2730999,0,0,0,1,1,"oot","0","0","0-5",NA,NA,NA,"06",NA,3,0,"egg",NA,0,NA,0,NA,0
"48","EMFWOR_NRIMT1-01A_2015",2015,"EMFWOR","EMFWOR_RIMT1","U",1.9,"POTR5",185,-0.996194698091746,"2015-06-05",0,16.6666666666667,10,0.714285714285714,"06","07",10.5349998,169.4089966,388.3380127,16.1548004,61.8069992,32.5315018,58.3749008,8.7708998,58.3749008,72,18,54,390.3930054,7.3922,0,0,0,0,0,0,"oot","oot","oot","oot",156,"06","06","06","07",3,1,"egg",28.6,24,24.3,18,28.6,24
